# decl2000,ra2000
-34.8166649071761,268.474796397144
-32.3500091458562,277.849800345053
-32.3000124689538,280.799801128784
-32.2166609156803,265.024800092512
-30.9666947708543,294.999806051108
-30.483349176839,283.774803781058
-30.116649736484,255.299804904278
-29.8666059358052,204.249826550214
-26.7499343786435,189.874836492152
-26.5333061473825,245.899812049249
-26.2666501978315,255.649810416283
-24.8666737548767,276.124811612956
-24.5500102434306,81.1248723636738
-24.3833344258246,270.949812101726
-23.9000105000965,279.099813530476
-23.8666373312443,116.149868339422
-23.1833879909756,325.099826311464
-23.0333340539514,270.649813957442
-22.983304417693,244.249816810964
-22.5000013878394,271.149814658205
-21.9167014974639,301.524819394757
-20.7333197638065,101.749866939519
-19.2500091703619,277.899819297269
-19.0166657044989,269.199819080682
-18.5166548961311,259.799820492254
-18.4833382466634,274.2248200063
-17.1333391015633,274.97482168171
-16.1833393880934,275.199822845289
-14.8166380032021,115.449858016392
-14.4999727605299,114.14985758898
-13.7833387812712,274.699825761574
-13.0499752433234,248.124827928023
-12.6333801767111,314.724832084856
-12.5333790930363,313.374831555302
-11.6166010865071,189.999839928082
-9.40001304152612,281.299831637032
-8.33331520824419,105.799851624015
-6.26668144677887,282.774834709624
-5.79996331082738,123.449847914129
-5.45000710825151,83.8498489322818
-5.26667372080242,83.8998480234066
-4.09998200369544,254.27483729707
-3.24999348200901,264.399838161373
-1.94997918904932,251.799840281135
-0.816720081056735,323.37484167715
-0.0167171319628753,40.6748424904494
0.04999615887647,86.6748423659036
2.08337639548413,229.649844188856
4.46673297050464,185.47484262066
8.00006601985786,187.449843287789
11.5500654005412,190.924845044528
11.6500654491319,190.499844788243
11.7000630085992,160.999837753763
11.8167117817998,132.599832426443
11.8167298571792,161.699837673286
11.8167323460497,189.424844790072
12.1666138569551,322.499851048557
12.4000659750803,187.699844049041
12.5500657867577,188.924844805463
12.5833966591329,161.949837485485
12.8833994877352,186.274844014856
12.9500661340817,186.549844195503
12.983398895675,170.049839812134
13.0833988537423,169.724839403135
13.1667324325095,189.199844567432
14.4167326022781,187.999844668926
14.4167330737095,184.699843461117
14.5000657897396,188.849845267853
14.9000664567692,183.449843371965
15.7832725893847,24.1748347424539
15.8167328992337,185.724844100815
18.166729943367,198.224849048157
18.1833995109918,186.349844613201
18.7833015929399,298.449861966168
19.983376124005,130.024823359936
21.6833978662983,194.174848953953
22.016659260946,83.6248155099598
22.7166334537909,299.899866010068
24.1166301744015,56.7498173397294
24.3333359525121,92.2248120747663
28.3833934201247,205.549857987989
30.1833114754881,289.149878956824
30.6499388835047,23.4748268834485
32.5499978511804,88.0998002104099
33.0333178814218,283.399884012544
34.1333264000111,84.0247969853908
35.8333242902294,82.1747948471933
36.4666889418769,250.424888802049
38.5332942566201,305.974885084414
40.8666012131277,10.6748317620156
41.1167316299824,192.724855412932
41.2666012792813,10.6748316278991
41.6832677641967,10.0998322165636
42.0333962767694,198.949861821997
42.7832827247925,40.4998022322508
43.1333457339053,259.274903655422
47.2000614736795,202.474869661311
47.3000663087688,184.749848288399
48.4332800688644,323.049887607814
51.5666065964391,25.5998064260065
53.3833999399535,179.399840941276
54.3500571710134,210.799889838434
55.0167319209349,168.699823656993
55.6667317637128,167.874821758653
58.0833996281444,185.599852576477
60.6999388255864,23.2997955292373
61.5832676068304,351.049861596586
69.0667237128426,148.899752044048
69.6833903519747,148.949749359345
